Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,1, 3, 0.00
1,GBFS,h1,1, 3, 0.00
1,GBFS,h2,1, 3, 0.00
1,GBFS,h3,1, 3, 0.00
1,GBFS,h4,1, 3, 0.00
1,A/A*,h1,1, 3, 0.00
1,A/A*,h2,1, 3, 0.00
1,A/A*,h3,1, 3, 0.00
1,A/A*,h4,1, 3, 0.00
2,UCS,NA,3, 46, 0.08
2,GBFS,h1,3, 6, 0.01
2,GBFS,h2,3, 6, 0.01
2,GBFS,h3,3, 6, 0.01
2,GBFS,h4,3, 6, 0.01
2,A/A*,h1,3, 14, 0.02
2,A/A*,h2,3, 6, 0.01
2,A/A*,h3,3, 14, 0.02
2,A/A*,h4,3, 6, 0.01
3,UCS,NA,2, 43, 0.08
3,GBFS,h1,2, 5, 0.01
3,GBFS,h2,2, 5, 0.01
3,GBFS,h3,2, 5, 0.01
3,GBFS,h4,3, 8, 0.01
3,A/A*,h1,2, 11, 0.01
3,A/A*,h2,2, 11, 0.01
3,A/A*,h3,2, 11, 0.01
3,A/A*,h4,3, 8, 0.01
4,UCS,NA,2, 55, 0.11
4,GBFS,h1,2, 4, 0.01
4,GBFS,h2,2, 4, 0.01
4,GBFS,h3,2, 4, 0.01
4,GBFS,h4,4, 6, 0.01
4,A/A*,h1,2, 13, 0.02
4,A/A*,h2,2, 13, 0.02
4,A/A*,h3,2, 13, 0.02
4,A/A*,h4,2, 8, 0.01
5,UCS,NA,0, 732, 2.77
5,GBFS,h1,0, 732, 3.53
5,GBFS,h2,0, 732, 3.53
5,GBFS,h3,0, 732, 3.55
5,GBFS,h4,0, 732, 3.09
5,A/A*,h1,0, 732, 2.79
5,A/A*,h2,0, 732, 2.77
5,A/A*,h3,0, 732, 2.78
5,A/A*,h4,0, 732, 2.88
6,UCS,NA,0, 1654, 8.18
6,GBFS,h1,0, 1654, 8.27
6,GBFS,h2,0, 1654, 8.30
6,GBFS,h3,0, 1654, 8.35
6,GBFS,h4,0, 1654, 8.51
6,A/A*,h1,0, 1654, 8.25
6,A/A*,h2,0, 1654, 8.29
6,A/A*,h3,0, 1654, 8.32
6,A/A*,h4,0, 1654, 8.36
7,UCS,NA,2, 34, 0.05
7,GBFS,h1,2, 4, 0.00
7,GBFS,h2,2, 4, 0.00
7,GBFS,h3,2, 4, 0.00
7,GBFS,h4,3, 7, 0.01
7,A/A*,h1,2, 11, 0.01
7,A/A*,h2,2, 11, 0.01
7,A/A*,h3,2, 11, 0.01
7,A/A*,h4,3, 7, 0.01
8,UCS,NA,3, 311, 1.34
8,GBFS,h1,3, 8, 0.03
8,GBFS,h2,3, 8, 0.03
8,GBFS,h3,3, 8, 0.03
8,GBFS,h4,4, 11, 0.04
8,A/A*,h1,3, 52, 0.18
8,A/A*,h2,3, 52, 0.18
8,A/A*,h3,3, 52, 0.18
8,A/A*,h4,4, 11, 0.04
9,UCS,NA,1, 2, 0.00
9,GBFS,h1,1, 2, 0.00
9,GBFS,h2,1, 2, 0.00
9,GBFS,h3,1, 2, 0.00
9,GBFS,h4,1, 2, 0.00
9,A/A*,h1,1, 2, 0.00
9,A/A*,h2,1, 2, 0.00
9,A/A*,h3,1, 2, 0.00
9,A/A*,h4,1, 2, 0.00
10,UCS,NA,0, 36, 0.04
10,GBFS,h1,0, 36, 0.04
10,GBFS,h2,0, 36, 0.04
10,GBFS,h3,0, 36, 0.05
10,GBFS,h4,0, 36, 0.04
10,A/A*,h1,0, 36, 0.04
10,A/A*,h2,0, 36, 0.04
10,A/A*,h3,0, 36, 0.04
10,A/A*,h4,0, 36, 0.04
11,UCS,NA,1, 3, 0.00
11,GBFS,h1,1, 3, 0.00
11,GBFS,h2,1, 3, 0.00
11,GBFS,h3,1, 3, 0.00
11,GBFS,h4,1, 2, 0.00
11,A/A*,h1,1, 3, 0.00
11,A/A*,h2,1, 3, 0.00
11,A/A*,h3,1, 3, 0.00
11,A/A*,h4,1, 2, 0.00
12,UCS,NA,1, 2, 0.00
12,GBFS,h1,1, 2, 0.00
12,GBFS,h2,1, 2, 0.00
12,GBFS,h3,1, 2, 0.00
12,GBFS,h4,1, 2, 0.00
12,A/A*,h1,1, 2, 0.00
12,A/A*,h2,1, 2, 0.00
12,A/A*,h3,1, 2, 0.00
12,A/A*,h4,1, 2, 0.00
13,UCS,NA,3, 300, 1.06
13,GBFS,h1,3, 10, 0.02
13,GBFS,h2,3, 10, 0.02
13,GBFS,h3,3, 10, 0.02
13,GBFS,h4,3, 9, 0.02
13,A/A*,h1,3, 79, 0.20
13,A/A*,h2,3, 79, 0.20
13,A/A*,h3,3, 79, 0.20
13,A/A*,h4,3, 15, 0.03
14,UCS,NA,3, 101, 0.24
14,GBFS,h1,3, 6, 0.01
14,GBFS,h2,3, 6, 0.01
14,GBFS,h3,3, 6, 0.01
14,GBFS,h4,3, 5, 0.01
14,A/A*,h1,3, 20, 0.04
14,A/A*,h2,3, 6, 0.01
14,A/A*,h3,3, 20, 0.04
14,A/A*,h4,3, 5, 0.01
15,UCS,NA,1, 3, 0.00
15,GBFS,h1,1, 3, 0.00
15,GBFS,h2,1, 3, 0.00
15,GBFS,h3,1, 3, 0.00
15,GBFS,h4,1, 2, 0.00
15,A/A*,h1,1, 3, 0.00
15,A/A*,h2,1, 3, 0.00
15,A/A*,h3,1, 3, 0.00
15,A/A*,h4,1, 2, 0.00
16,UCS,NA,2, 71, 0.18
16,GBFS,h1,2, 4, 0.00
16,GBFS,h2,2, 4, 0.00
16,GBFS,h3,2, 4, 0.00
16,GBFS,h4,3, 8, 0.02
16,A/A*,h1,2, 14, 0.02
16,A/A*,h2,2, 14, 0.02
16,A/A*,h3,2, 14, 0.02
16,A/A*,h4,2, 7, 0.01
17,UCS,NA,3, 164, 0.45
17,GBFS,h1,3, 9, 0.02
17,GBFS,h2,3, 9, 0.02
17,GBFS,h3,3, 9, 0.02
17,GBFS,h4,4, 7, 0.02
17,A/A*,h1,3, 54, 0.12
17,A/A*,h2,3, 54, 0.12
17,A/A*,h3,3, 54, 0.12
17,A/A*,h4,4, 16, 0.04
18,UCS,NA,4, 923, 3.84
18,GBFS,h1,4, 18, 0.05
18,GBFS,h2,4, 18, 0.05
18,GBFS,h3,4, 18, 0.05
18,GBFS,h4,8, 18, 0.07
18,A/A*,h1,4, 168, 0.49
18,A/A*,h2,4, 168, 0.49
18,A/A*,h3,4, 168, 0.49
18,A/A*,h4,5, 22, 0.06
19,UCS,NA,1, 2, 0.00
19,GBFS,h1,1, 2, 0.00
19,GBFS,h2,1, 2, 0.00
19,GBFS,h3,1, 2, 0.00
19,GBFS,h4,1, 2, 0.00
19,A/A*,h1,1, 2, 0.00
19,A/A*,h2,1, 2, 0.00
19,A/A*,h3,1, 2, 0.00
19,A/A*,h4,1, 2, 0.00
20,UCS,NA,5, 3197, 20.58
20,GBFS,h1,5, 16, 0.06
