Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,2, 17, 0.03
1,GBFS,h1,2, 4, 0.00
1,GBFS,h2,2, 4, 0.00
1,GBFS,h3,2, 4, 0.00
1,GBFS,h4,2, 6, 0.00
1,A/A*,h1,2, 7, 0.01
1,A/A*,h2,2, 7, 0.01
1,A/A*,h3,2, 7, 0.01
1,A/A*,h4,2, 6, 0.00
2,UCS,NA,10, 2012, 20.96
2,GBFS,h1,10, 123, 0.67
2,GBFS,h2,10, 123, 0.67
2,GBFS,h3,10, 123, 0.66
2,GBFS,h4,15, 168, 0.71
2,A/A*,h1,10, 591, 4.19
2,A/A*,h2,10, 591, 4.24
2,A/A*,h3,10, 591, 4.24
2,A/A*,h4,13, 154, 0.59
3,UCS,NA,17, 5213, 51.16
3,GBFS,h1,24, 2837, 29.86
3,GBFS,h2,24, 2837, 29.48
3,GBFS,h3,24, 2837, 28.87
3,GBFS,h4,33, 2073, 27.55
3,A/A*,h1,17, 4854, 47.40
3,A/A*,h2,17, 4854, 47.75
3,A/A*,h3,17, 4854, 47.90
3,A/A*,h4,19, 2089, 15.68
4,UCS,NA,0, 156, 0.47
4,GBFS,h1,0, 156, 0.55
4,GBFS,h2,0, 156, 0.55
4,GBFS,h3,0, 156, 0.55
4,GBFS,h4,0, 156, 0.52
4,A/A*,h1,0, 156, 0.47
4,A/A*,h2,0, 156, 0.47
4,A/A*,h3,0, 156, 0.46
4,A/A*,h4,0, 156, 0.51
5,UCS,NA,0, 353, 2.51
5,GBFS,h1,0, 353, 2.53
5,GBFS,h2,0, 353, 2.55
5,GBFS,h3,0, 353, 2.55
5,GBFS,h4,0, 353, 3.13
5,A/A*,h1,0, 353, 2.54
5,A/A*,h2,0, 353, 2.55
5,A/A*,h3,0, 353, 2.53
5,A/A*,h4,0, 353, 2.52
6,UCS,NA,32, 843, 9.01
6,GBFS,h1,36, 558, 4.46
6,GBFS,h2,36, 558, 4.46
6,GBFS,h3,36, 558, 4.49
6,GBFS,h4,41, 499, 4.13
6,A/A*,h1,32, 647, 5.74
6,A/A*,h2,32, 647, 5.75
6,A/A*,h3,32, 647, 5.74
6,A/A*,h4,34, 512, 3.73
