Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,1, 2, 0.00
1,GBFS,h1,1, 2, 0.00
1,GBFS,h2,1, 2, 0.00
1,GBFS,h3,1, 2, 0.00
1,GBFS,h4,1, 2, 0.00
1,A/A*,h1,1, 2, 0.00
1,A/A*,h2,1, 2, 0.00
1,A/A*,h3,1, 2, 0.00
1,A/A*,h4,1, 2, 0.00
2,UCS,NA,11, 1395, 6.66
2,GBFS,h1,11, 1121, 5.21
2,GBFS,h2,11, 1121, 5.13
2,GBFS,h3,11, 1121, 5.09
2,GBFS,h4,12, 955, 4.35
2,A/A*,h1,11, 1313, 6.13
2,A/A*,h2,11, 1313, 6.17
2,A/A*,h3,11, 1313, 6.16
2,A/A*,h4,12, 1012, 4.53
3,UCS,NA,0, 12, 0.01
3,GBFS,h1,0, 12, 0.01
3,GBFS,h2,0, 12, 0.01
3,GBFS,h3,0, 12, 0.01
3,GBFS,h4,0, 12, 0.01
3,A/A*,h1,0, 12, 0.01
3,A/A*,h2,0, 12, 0.01
3,A/A*,h3,0, 12, 0.01
3,A/A*,h4,0, 12, 0.01
4,UCS,NA,2, 81, 0.23
4,GBFS,h1,2, 4, 0.01
4,GBFS,h2,2, 4, 0.01
4,GBFS,h3,2, 4, 0.01
4,GBFS,h4,3, 8, 0.02
4,A/A*,h1,2, 22, 0.04
4,A/A*,h2,2, 22, 0.05
4,A/A*,h3,2, 22, 0.04
4,A/A*,h4,2, 8, 0.01
5,UCS,NA,0, 1224, 5.68
5,GBFS,h1,0, 1224, 6.40
5,GBFS,h2,0, 1224, 6.29
5,GBFS,h3,0, 1224, 6.23
5,GBFS,h4,0, 1224, 6.26
5,A/A*,h1,0, 1224, 5.64
5,A/A*,h2,0, 1224, 5.63
5,A/A*,h3,0, 1224, 5.64
5,A/A*,h4,0, 1224, 5.70
6,UCS,NA,1, 3, 0.00
6,GBFS,h1,1, 3, 0.00
6,GBFS,h2,1, 3, 0.00
6,GBFS,h3,1, 3, 0.00
6,GBFS,h4,1, 2, 0.00
6,A/A*,h1,1, 3, 0.00
6,A/A*,h2,1, 3, 0.00
6,A/A*,h3,1, 3, 0.00
6,A/A*,h4,1, 2, 0.00
7,UCS,NA,2, 97, 0.29
7,GBFS,h1,2, 5, 0.01
7,GBFS,h2,2, 5, 0.01
7,GBFS,h3,2, 5, 0.01
7,GBFS,h4,3, 4, 0.01
7,A/A*,h1,2, 17, 0.03
7,A/A*,h2,2, 5, 0.01
7,A/A*,h3,2, 17, 0.04
7,A/A*,h4,3, 4, 0.01
8,UCS,NA,0, 792, 3.43
8,GBFS,h1,0, 792, 3.46
8,GBFS,h2,0, 792, 3.60
8,GBFS,h3,0, 792, 3.56
8,GBFS,h4,0, 792, 3.47
8,A/A*,h1,0, 792, 3.41
8,A/A*,h2,0, 792, 3.49
8,A/A*,h3,0, 792, 3.57
8,A/A*,h4,0, 792, 3.59
9,UCS,NA,0, 367, 1.43
9,GBFS,h1,0, 367, 1.44
9,GBFS,h2,0, 367, 1.43
9,GBFS,h3,0, 367, 1.44
9,GBFS,h4,0, 367, 1.46
9,A/A*,h1,0, 367, 1.41
9,A/A*,h2,0, 367, 1.43
9,A/A*,h3,0, 367, 1.43
9,A/A*,h4,0, 367, 1.41
10,UCS,NA,0, 2576, 15.38
10,GBFS,h1,0, 2576, 15.96
10,GBFS,h2,0, 2576, 15.50
10,GBFS,h3,0, 2576, 16.14
10,GBFS,h4,0, 2576, 16.05
10,A/A*,h1,0, 2576, 15.63
10,A/A*,h2,0, 2576, 15.63
10,A/A*,h3,0, 2576, 15.62
10,A/A*,h4,0, 2576, 15.77
11,UCS,NA,2, 54, 0.12
11,GBFS,h1,2, 6, 0.01
11,GBFS,h2,2, 6, 0.01
11,GBFS,h3,2, 6, 0.01
11,GBFS,h4,2, 8, 0.01
11,A/A*,h1,2, 11, 0.02
11,A/A*,h2,2, 11, 0.02
11,A/A*,h3,2, 11, 0.02
11,A/A*,h4,2, 8, 0.01
12,UCS,NA,1, 2, 0.00
12,GBFS,h1,1, 2, 0.00
12,GBFS,h2,1, 2, 0.00
12,GBFS,h3,1, 2, 0.00
12,GBFS,h4,1, 2, 0.00
12,A/A*,h1,1, 2, 0.00
12,A/A*,h2,1, 2, 0.00
12,A/A*,h3,1, 2, 0.00
12,A/A*,h4,1, 2, 0.00
13,UCS,NA,14, 3566, 23.39
13,GBFS,h1,20, 2581, 16.83
13,GBFS,h2,20, 2581, 16.97
13,GBFS,h3,20, 2581, 16.61
13,GBFS,h4,23, 1663, 12.97
13,A/A*,h1,14, 3048, 17.96
13,A/A*,h2,14, 3048, 17.96
13,A/A*,h3,14, 3048, 18.09
13,A/A*,h4,16, 2269, 11.99
14,UCS,NA,21, 6401, 79.14
14,GBFS,h1,23, 2586, 23.32
14,GBFS,h2,23, 2586, 23.03
14,GBFS,h3,23, 2586, 22.79
14,GBFS,h4,24, 3011, 24.75
14,A/A*,h1,21, 5798, 63.37
14,A/A*,h2,21, 5798, 64.67
14,A/A*,h3,21, 5798, 65.60
14,A/A*,h4,23, 3529, 27.01
15,UCS,NA,2, 148, 0.52
15,GBFS,h1,2, 4, 0.01
15,GBFS,h2,2, 4, 0.01
15,GBFS,h3,2, 4, 0.01
15,GBFS,h4,4, 15, 0.05
15,A/A*,h1,2, 18, 0.04
15,A/A*,h2,2, 18, 0.04
15,A/A*,h3,2, 18, 0.04
15,A/A*,h4,3, 16, 0.04
16,UCS,NA,0, 547, 2.55
16,GBFS,h1,0, 547, 2.86
16,GBFS,h2,0, 547, 2.81
16,GBFS,h3,0, 547, 2.81
16,GBFS,h4,0, 547, 3.35
16,A/A*,h1,0, 547, 2.62
16,A/A*,h2,0, 547, 2.71
16,A/A*,h3,0, 547, 2.58
16,A/A*,h4,0, 547, 2.83
17,UCS,NA,2, 69, 0.15
17,GBFS,h1,2, 3, 0.00
17,GBFS,h2,2, 3, 0.00
17,GBFS,h3,2, 3, 0.00
17,GBFS,h4,3, 9, 0.02
17,A/A*,h1,2, 13, 0.02
17,A/A*,h2,2, 13, 0.02
17,A/A*,h3,2, 13, 0.02
17,A/A*,h4,2, 8, 0.01
18,UCS,NA,0, 8784, 106.77
18,GBFS,h1,0, 8784, 127.63
18,GBFS,h2,0, 8784, 126.37
18,GBFS,h3,0, 8784, 126.21
18,GBFS,h4,0, 8784, 129.00
18,A/A*,h1,0, 8784, 105.76
18,A/A*,h2,0, 8784, 110.32
18,A/A*,h3,0, 8784, 107.93
18,A/A*,h4,0, 8784, 116.66
19,UCS,NA,0, 412, 1.35
19,GBFS,h1,0, 412, 2.08
19,GBFS,h2,0, 412, 2.10
19,GBFS,h3,0, 412, 2.08
19,GBFS,h4,0, 412, 1.40
19,A/A*,h1,0, 412, 1.37
19,A/A*,h2,0, 412, 1.34
19,A/A*,h3,0, 412, 1.37
19,A/A*,h4,0, 412, 1.38
20,UCS,NA,0, 100, 0.22
20,GBFS,h1,0, 100, 0.22
20,GBFS,h2,0, 100, 0.22
20,GBFS,h3,0, 100, 0.22
20,GBFS,h4,0, 100, 0.22
20,A/A*,h1,0, 100, 0.22
20,A/A*,h2,0, 100, 0.22
20,A/A*,h3,0, 100, 0.23
