Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,1, 3, 0.00
1,GBFS,h1,1, 3, 0.00
1,GBFS,h2,1, 3, 0.00
1,GBFS,h3,1, 3, 0.00
1,GBFS,h4,1, 3, 0.00
1,A/A*,h1,1, 3, 0.00
1,A/A*,h2,1, 3, 0.00
1,A/A*,h3,1, 3, 0.00
1,A/A*,h4,1, 3, 0.00
2,UCS,NA,3, 298, 0.87
2,GBFS,h1,3, 7, 0.02
2,GBFS,h2,3, 7, 0.02
2,GBFS,h3,3, 7, 0.02
2,GBFS,h4,3, 7, 0.02
2,A/A*,h1,3, 29, 0.06
2,A/A*,h2,3, 7, 0.02
2,A/A*,h3,3, 29, 0.06
2,A/A*,h4,3, 7, 0.02
3,UCS,NA,1, 2, 0.00
3,GBFS,h1,1, 2, 0.00
3,GBFS,h2,1, 2, 0.00
3,GBFS,h3,1, 2, 0.00
3,GBFS,h4,1, 2, 0.00
3,A/A*,h1,1, 2, 0.00
3,A/A*,h2,1, 2, 0.00
3,A/A*,h3,1, 2, 0.00
3,A/A*,h4,1, 2, 0.00
4,UCS,NA,0, 28, 0.03
4,GBFS,h1,0, 28, 0.03
4,GBFS,h2,0, 28, 0.03
4,GBFS,h3,0, 28, 0.03
4,GBFS,h4,0, 28, 0.03
4,A/A*,h1,0, 28, 0.03
4,A/A*,h2,0, 28, 0.03
4,A/A*,h3,0, 28, 0.03
4,A/A*,h4,0, 28, 0.03
5,UCS,NA,2, 25, 0.04
5,GBFS,h1,2, 5, 0.00
5,GBFS,h2,2, 5, 0.00
5,GBFS,h3,2, 5, 0.00
5,GBFS,h4,2, 5, 0.00
5,A/A*,h1,2, 9, 0.01
5,A/A*,h2,2, 9, 0.01
5,A/A*,h3,2, 9, 0.01
5,A/A*,h4,2, 9, 0.01
6,UCS,NA,3, 269, 1.09
6,GBFS,h1,3, 14, 0.03
6,GBFS,h2,3, 14, 0.03
6,GBFS,h3,3, 14, 0.03
6,GBFS,h4,3, 5, 0.01
6,A/A*,h1,3, 61, 0.17
6,A/A*,h2,3, 61, 0.17
6,A/A*,h3,3, 61, 0.17
6,A/A*,h4,3, 22, 0.05
7,UCS,NA,3, 203, 0.57
7,GBFS,h1,3, 8, 0.01
7,GBFS,h2,3, 8, 0.01
7,GBFS,h3,3, 8, 0.01
7,GBFS,h4,3, 4, 0.01
7,A/A*,h1,3, 79, 0.18
7,A/A*,h2,3, 79, 0.18
7,A/A*,h3,3, 79, 0.18
7,A/A*,h4,3, 36, 0.08
8,UCS,NA,4, 216, 0.56
8,GBFS,h1,5, 12, 0.02
8,GBFS,h2,5, 12, 0.02
8,GBFS,h3,5, 12, 0.02
8,GBFS,h4,4, 8, 0.02
8,A/A*,h1,4, 53, 0.10
8,A/A*,h2,4, 53, 0.10
8,A/A*,h3,4, 53, 0.10
8,A/A*,h4,4, 28, 0.05
9,UCS,NA,0, 2, 0.00
9,GBFS,h1,0, 2, 0.00
9,GBFS,h2,0, 2, 0.00
9,GBFS,h3,0, 2, 0.00
9,GBFS,h4,0, 2, 0.00
9,A/A*,h1,0, 2, 0.00
9,A/A*,h2,0, 2, 0.00
9,A/A*,h3,0, 2, 0.00
9,A/A*,h4,0, 2, 0.00
10,UCS,NA,0, 400, 1.16
10,GBFS,h1,0, 400, 1.25
10,GBFS,h2,0, 400, 1.24
10,GBFS,h3,0, 400, 1.24
10,GBFS,h4,0, 400, 1.26
10,A/A*,h1,0, 400, 1.16
10,A/A*,h2,0, 400, 1.15
10,A/A*,h3,0, 400, 1.16
10,A/A*,h4,0, 400, 1.16
11,UCS,NA,0, 1336, 6.70
11,GBFS,h1,0, 1336, 7.32
11,GBFS,h2,0, 1336, 7.34
11,GBFS,h3,0, 1336, 7.27
11,GBFS,h4,0, 1336, 7.24
11,A/A*,h1,0, 1336, 6.69
11,A/A*,h2,0, 1336, 6.77
11,A/A*,h3,0, 1336, 6.69
11,A/A*,h4,0, 1336, 6.71
12,UCS,NA,0, 648, 2.47
12,GBFS,h1,0, 648, 2.56
12,GBFS,h2,0, 648, 2.56
12,GBFS,h3,0, 648, 2.56
12,GBFS,h4,0, 648, 2.83
12,A/A*,h1,0, 648, 2.54
12,A/A*,h2,0, 648, 2.49
12,A/A*,h3,0, 648, 2.50
12,A/A*,h4,0, 648, 2.48
13,UCS,NA,6, 652, 2.30
13,GBFS,h1,6, 262, 0.75
13,GBFS,h2,6, 262, 0.76
13,GBFS,h3,6, 262, 0.75
13,GBFS,h4,6, 124, 0.31
13,A/A*,h1,6, 412, 1.32
13,A/A*,h2,6, 412, 1.31
13,A/A*,h3,6, 412, 1.32
13,A/A*,h4,6, 299, 0.89
14,UCS,NA,0, 71, 0.11
14,GBFS,h1,0, 71, 0.11
14,GBFS,h2,0, 71, 0.11
14,GBFS,h3,0, 71, 0.11
14,GBFS,h4,0, 71, 0.11
14,A/A*,h1,0, 71, 0.11
14,A/A*,h2,0, 71, 0.11
14,A/A*,h3,0, 71, 0.11
14,A/A*,h4,0, 71, 0.11
15,UCS,NA,1, 2, 0.00
15,GBFS,h1,1, 2, 0.00
15,GBFS,h2,1, 2, 0.00
15,GBFS,h3,1, 2, 0.00
15,GBFS,h4,1, 2, 0.00
15,A/A*,h1,1, 2, 0.00
15,A/A*,h2,1, 2, 0.00
15,A/A*,h3,1, 2, 0.00
15,A/A*,h4,1, 2, 0.00
16,UCS,NA,0, 24, 0.03
16,GBFS,h1,0, 24, 0.03
16,GBFS,h2,0, 24, 0.03
16,GBFS,h3,0, 24, 0.03
16,GBFS,h4,0, 24, 0.03
16,A/A*,h1,0, 24, 0.03
16,A/A*,h2,0, 24, 0.03
16,A/A*,h3,0, 24, 0.03
16,A/A*,h4,0, 24, 0.03
17,UCS,NA,0, 664, 2.04
17,GBFS,h1,0, 664, 2.19
17,GBFS,h2,0, 664, 2.19
17,GBFS,h3,0, 664, 2.17
17,GBFS,h4,0, 664, 2.13
17,A/A*,h1,0, 664, 2.05
17,A/A*,h2,0, 664, 2.06
17,A/A*,h3,0, 664, 2.09
17,A/A*,h4,0, 664, 2.07
18,UCS,NA,5, 208, 0.45
18,GBFS,h1,5, 14, 0.03
18,GBFS,h2,5, 14, 0.03
18,GBFS,h3,5, 14, 0.03
18,GBFS,h4,5, 10, 0.02
18,A/A*,h1,5, 86, 0.15
18,A/A*,h2,5, 86, 0.15
18,A/A*,h3,5, 86, 0.16
18,A/A*,h4,5, 48, 0.08
19,UCS,NA,0, 6186, 46.51
19,GBFS,h1,0, 6186, 47.82
19,GBFS,h2,0, 6186, 48.76
19,GBFS,h3,0, 6186, 48.24
19,GBFS,h4,0, 6186, 48.97
19,A/A*,h1,0, 6186, 47.49
19,A/A*,h2,0, 6186, 47.93
19,A/A*,h3,0, 6186, 47.54
19,A/A*,h4,0, 6186, 47.51
20,UCS,NA,8, 2214, 12.95
20,GBFS,h1,8, 1138, 5.61
