Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,3, 114, 0.34
1,GBFS,h1,3, 7, 0.02
1,GBFS,h2,3, 7, 0.02
1,GBFS,h3,3, 7, 0.02
1,GBFS,h4,3, 4, 0.01
1,A/A*,h1,3, 28, 0.07
1,A/A*,h2,3, 28, 0.07
1,A/A*,h3,3, 28, 0.07
1,A/A*,h4,3, 5, 0.01
2,UCS,NA,0, 6, 0.00
2,GBFS,h1,0, 6, 0.00
2,GBFS,h2,0, 6, 0.00
2,GBFS,h3,0, 6, 0.00
2,GBFS,h4,0, 6, 0.00
2,A/A*,h1,0, 6, 0.00
2,A/A*,h2,0, 6, 0.00
2,A/A*,h3,0, 6, 0.00
2,A/A*,h4,0, 6, 0.00
3,UCS,NA,3, 161, 0.49
3,GBFS,h1,3, 9, 0.02
3,GBFS,h2,3, 9, 0.02
3,GBFS,h3,3, 9, 0.02
3,GBFS,h4,3, 6, 0.01
3,A/A*,h1,3, 69, 0.16
3,A/A*,h2,3, 9, 0.02
3,A/A*,h3,3, 69, 0.16
3,A/A*,h4,3, 6, 0.01
4,UCS,NA,0, 1992, 12.98
4,GBFS,h1,0, 1992, 14.42
4,GBFS,h2,0, 1992, 14.40
4,GBFS,h3,0, 1992, 14.40
4,GBFS,h4,0, 1992, 14.46
4,A/A*,h1,0, 1992, 12.98
4,A/A*,h2,0, 1992, 12.93
4,A/A*,h3,0, 1992, 12.90
4,A/A*,h4,0, 1992, 12.97
5,UCS,NA,3, 120, 0.29
5,GBFS,h1,3, 7, 0.02
5,GBFS,h2,3, 7, 0.02
5,GBFS,h3,3, 7, 0.02
5,GBFS,h4,3, 4, 0.01
5,A/A*,h1,3, 22, 0.05
5,A/A*,h2,3, 22, 0.05
5,A/A*,h3,3, 22, 0.05
5,A/A*,h4,3, 5, 0.01
6,UCS,NA,2, 18, 0.02
6,GBFS,h1,2, 5, 0.00
6,GBFS,h2,2, 5, 0.00
6,GBFS,h3,2, 5, 0.00
6,GBFS,h4,2, 3, 0.00
6,A/A*,h1,2, 9, 0.01
6,A/A*,h2,2, 9, 0.01
6,A/A*,h3,2, 9, 0.01
6,A/A*,h4,2, 3, 0.00
7,UCS,NA,3, 247, 0.65
7,GBFS,h1,3, 7, 0.01
7,GBFS,h2,3, 7, 0.01
7,GBFS,h3,3, 7, 0.01
7,GBFS,h4,3, 4, 0.00
7,A/A*,h1,3, 36, 0.07
7,A/A*,h2,3, 36, 0.07
7,A/A*,h3,3, 36, 0.07
7,A/A*,h4,3, 7, 0.01
8,UCS,NA,3, 491, 1.66
8,GBFS,h1,3, 16, 0.03
8,GBFS,h2,3, 16, 0.03
8,GBFS,h3,3, 16, 0.03
8,GBFS,h4,3, 7, 0.01
8,A/A*,h1,3, 111, 0.27
8,A/A*,h2,3, 111, 0.27
8,A/A*,h3,3, 111, 0.27
8,A/A*,h4,3, 11, 0.02
9,UCS,NA,0, 57, 0.09
9,GBFS,h1,0, 57, 0.10
9,GBFS,h2,0, 57, 0.10
9,GBFS,h3,0, 57, 0.10
9,GBFS,h4,0, 57, 0.10
9,A/A*,h1,0, 57, 0.09
9,A/A*,h2,0, 57, 0.09
9,A/A*,h3,0, 57, 0.09
9,A/A*,h4,0, 57, 0.09
10,UCS,NA,7, 66, 0.10
10,GBFS,h1,7, 46, 0.06
10,GBFS,h2,7, 46, 0.06
10,GBFS,h3,7, 46, 0.06
10,GBFS,h4,7, 44, 0.06
10,A/A*,h1,7, 54, 0.08
10,A/A*,h2,7, 46, 0.06
10,A/A*,h3,7, 54, 0.08
10,A/A*,h4,7, 44, 0.06
11,UCS,NA,0, 587, 3.13
11,GBFS,h1,0, 587, 3.53
11,GBFS,h2,0, 587, 3.53
11,GBFS,h3,0, 587, 3.53
11,GBFS,h4,0, 587, 3.78
11,A/A*,h1,0, 587, 3.13
11,A/A*,h2,0, 587, 3.13
11,A/A*,h3,0, 587, 3.13
11,A/A*,h4,0, 587, 3.13
12,UCS,NA,2, 59, 0.13
12,GBFS,h1,2, 3, 0.00
12,GBFS,h2,2, 3, 0.00
12,GBFS,h3,2, 3, 0.00
12,GBFS,h4,2, 3, 0.00
12,A/A*,h1,2, 13, 0.02
12,A/A*,h2,2, 13, 0.02
12,A/A*,h3,2, 13, 0.02
12,A/A*,h4,2, 3, 0.00
13,UCS,NA,2, 45, 0.10
13,GBFS,h1,2, 3, 0.00
13,GBFS,h2,2, 3, 0.00
13,GBFS,h3,2, 3, 0.00
13,GBFS,h4,2, 3, 0.00
13,A/A*,h1,2, 13, 0.02
13,A/A*,h2,2, 13, 0.02
13,A/A*,h3,2, 13, 0.02
13,A/A*,h4,2, 3, 0.00
14,UCS,NA,4, 2133, 12.90
14,GBFS,h1,4, 9, 0.03
14,GBFS,h2,4, 9, 0.03
14,GBFS,h3,4, 9, 0.03
14,GBFS,h4,4, 5, 0.01
14,A/A*,h1,4, 162, 0.64
14,A/A*,h2,4, 162, 0.62
14,A/A*,h3,4, 162, 0.62
14,A/A*,h4,4, 17, 0.05
15,UCS,NA,0, 56, 0.08
15,GBFS,h1,0, 56, 0.08
15,GBFS,h2,0, 56, 0.08
15,GBFS,h3,0, 56, 0.08
15,GBFS,h4,0, 56, 0.08
15,A/A*,h1,0, 56, 0.08
15,A/A*,h2,0, 56, 0.08
15,A/A*,h3,0, 56, 0.08
15,A/A*,h4,0, 56, 0.08
16,UCS,NA,2, 29, 0.05
16,GBFS,h1,2, 5, 0.00
16,GBFS,h2,2, 5, 0.01
16,GBFS,h3,2, 5, 0.00
16,GBFS,h4,2, 3, 0.00
16,A/A*,h1,2, 10, 0.01
16,A/A*,h2,2, 10, 0.01
16,A/A*,h3,2, 10, 0.01
16,A/A*,h4,2, 4, 0.00
17,UCS,NA,1, 2, 0.00
17,GBFS,h1,1, 2, 0.00
17,GBFS,h2,1, 2, 0.00
17,GBFS,h3,1, 2, 0.00
17,GBFS,h4,1, 2, 0.00
17,A/A*,h1,1, 2, 0.00
17,A/A*,h2,1, 2, 0.00
17,A/A*,h3,1, 2, 0.00
17,A/A*,h4,1, 2, 0.00
18,UCS,NA,3, 269, 0.89
18,GBFS,h1,3, 7, 0.02
18,GBFS,h2,3, 7, 0.02
18,GBFS,h3,3, 7, 0.02
18,GBFS,h4,3, 4, 0.01
18,A/A*,h1,3, 60, 0.15
18,A/A*,h2,3, 60, 0.16
18,A/A*,h3,3, 60, 0.15
18,A/A*,h4,3, 9, 0.02
19,UCS,NA,2, 63, 0.16
19,GBFS,h1,2, 3, 0.00
19,GBFS,h2,2, 3, 0.00
19,GBFS,h3,2, 3, 0.00
19,GBFS,h4,2, 3, 0.00
19,A/A*,h1,2, 14, 0.02
19,A/A*,h2,2, 14, 0.02
19,A/A*,h3,2, 14, 0.02
19,A/A*,h4,2, 3, 0.00
20,UCS,NA,1, 5, 0.01
