Number, Algorithm, Heuristic, Solution Length, Search Length, Execution Time
1,UCS,NA,2, 17, 0.03
1,GBFS,h1,2, 4, 0.00
1,GBFS,h2,2, 4, 0.00
1,GBFS,h3,2, 4, 0.00
1,GBFS,h4,2, 6, 0.01
1,A/A*,h1,2, 7, 0.01
1,A/A*,h2,2, 7, 0.01
1,A/A*,h3,2, 7, 0.01
1,A/A*,h4,2, 6, 0.01
2,UCS,NA,10, 2012, 23.06
2,GBFS,h1,10, 123, 0.74
2,GBFS,h2,10, 123, 0.75
2,GBFS,h3,10, 123, 0.75
2,GBFS,h4,15, 168, 0.80
2,A/A*,h1,10, 591, 4.74
2,A/A*,h2,10, 591, 4.72
2,A/A*,h3,10, 591, 4.75
2,A/A*,h4,13, 154, 0.67
3,UCS,NA,17, 5213, 57.33
3,GBFS,h1,24, 2837, 32.08
3,GBFS,h2,24, 2837, 32.27
3,GBFS,h3,24, 2837, 32.08
3,GBFS,h4,33, 2073, 30.64
3,A/A*,h1,17, 4854, 52.60
3,A/A*,h2,17, 4854, 52.99
3,A/A*,h3,17, 4854, 52.56
3,A/A*,h4,19, 2089, 17.34
4,UCS,NA,0, 156, 0.53
4,GBFS,h1,0, 156, 0.62
4,GBFS,h2,0, 156, 0.62
4,GBFS,h3,0, 156, 0.62
4,GBFS,h4,0, 156, 0.59
4,A/A*,h1,0, 156, 0.53
4,A/A*,h2,0, 156, 0.53
4,A/A*,h3,0, 156, 0.53
4,A/A*,h4,0, 156, 0.58
5,UCS,NA,0, 353, 2.86
5,GBFS,h1,0, 353, 2.84
5,GBFS,h2,0, 353, 2.84
5,GBFS,h3,0, 353, 2.83
5,GBFS,h4,0, 353, 3.45
5,A/A*,h1,0, 353, 2.82
5,A/A*,h2,0, 353, 2.82
5,A/A*,h3,0, 353, 2.82
5,A/A*,h4,0, 353, 2.84
6,UCS,NA,32, 843, 10.00
6,GBFS,h1,36, 558, 4.97
6,GBFS,h2,36, 558, 4.96
6,GBFS,h3,36, 558, 4.95
6,GBFS,h4,41, 499, 4.58
6,A/A*,h1,32, 647, 6.42
6,A/A*,h2,32, 647, 6.39
6,A/A*,h3,32, 647, 6.38
6,A/A*,h4,34, 512, 4.14
